,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,21.932669405866655,21.932669405866655,21.932669405866655,21.932669405866655,21.932669405866655
0.1,28.329347186617067,26.884088189572335,25.92063539136278,26.10380769313613,28.33240355422914
0.2,30.597588366305313,30.15087995085932,29.22937921519753,27.2275324634638,28.17989156949099
0.3,38.21390953069195,38.59487606529778,37.37527986881003,34.73223795431811,35.65600060787189
0.4,44.66289797153508,44.57271873530216,45.50590896732631,38.722239882989236,40.8734420137482
0.5,48.4048104608721,48.42916438466874,54.9904123880838,45.073917989397835,45.06476443160722
0.6,52.951442865011956,52.951442865011956,61.60730362165413,50.75398878991026,49.944547135956626
0.7,65.27182955157572,66.02728130589126,68.82753672858757,54.47660831575629,55.69998433372267
0.8,75.85927718331011,75.85927718331011,74.46639668350396,59.11091075105195,60.83133667644501
0.9,82.2860194024421,83.84724949256322,81.84369979768299,70.63413540658294,72.24128864240467
